"","country.code","region","component","stimulus"
"413","GHA","MAF","Liquidity support",0
"414","GMB","MAF","Liquidity support",0
"415","GNB","MAF","Liquidity support",0
"416","GNQ","MAF","Liquidity support",0
"417","GRC","OECD+","Liquidity support",2173913043
"418","GTM","LAM","Liquidity support",0
"419","GUM","OECD+","Liquidity support",0
"420","GUY","LAM","Liquidity support",0
"421","HKG","ASIA","Liquidity support",0
"422","HND","LAM","Liquidity support",0
"423","HRV","OECD+","Liquidity support",0
"424","HTI","LAM","Liquidity support",0
"425","HUN","OECD+","Liquidity support",6106324055
"426","IDN","ASIA","Liquidity support",1.3e+07
"427","IND","ASIA","Liquidity support",1.45e+08
"428","IRL","OECD+","Liquidity support",5e+09
"429","IRN","MAF","Liquidity support",2.0372e+10
"430","IRQ","MAF","Liquidity support",0
"431","ISL","OECD+","Liquidity support",0
"432","ISR","MAF","Liquidity support",11418837560
"433","ITA","OECD+","Liquidity support",5.83e+08
"434","JAM","LAM","Liquidity support",0
"435","JOR","MAF","Liquidity support",0
"436","JPN","OECD+","Liquidity support",1.169e+09
"437","KAZ","REF","Liquidity support",0
"438","KEN","MAF","Liquidity support",0
"439","KGZ","REF","Liquidity support",0
"440","KHM","ASIA","Liquidity support",0
"441","KOR","ASIA","Liquidity support",1.49e+08
"442","KWT","MAF","Liquidity support",0
"443","LAO","ASIA","Liquidity support",0
"444","LBN","MAF","Liquidity support",0
"445","LBR","MAF","Liquidity support",0
"446","LBY","MAF","Liquidity support",0
"447","LKA","ASIA","Liquidity support",0
"448","LSO","MAF","Liquidity support",33985576.64
"449","LTU","OECD+","Liquidity support",2.5e+09
"450","LUX","OECD+","Liquidity support",3913043478
"451","LVA","OECD+","Liquidity support",9e+08
"452","MAC","ASIA","Liquidity support",0
"453","MAR","MAF","Liquidity support",0
"454","MDA","REF","Liquidity support",0
"455","MDG","MAF","Liquidity support",0
"456","MDV","ASIA","Liquidity support",0
"457","MEX","LAM","Liquidity support",5e+06
"458","MKD","OECD+","Liquidity support",0
"459","MLI","MAF","Liquidity support",0
"460","MLT","OECD+","Liquidity support",0
"461","MMR","ASIA","Liquidity support",69939461.62
"462","MNE","OECD+","Liquidity support",0
"463","MNG","ASIA","Liquidity support",0
"464","MOZ","MAF","Liquidity support",0
"465","MRT","MAF","Liquidity support",0
"466","MUS","MAF","Liquidity support",5893715.68
"467","MWI","MAF","Liquidity support",0
"468","MYS","ASIA","Liquidity support",0
"469","NAM","MAF","Liquidity support",173795537.1
"470","NCL","OECD+","Liquidity support",0
"471","NER","MAF","Liquidity support",0
"472","NGA","MAF","Liquidity support",0
"473","NIC","LAM","Liquidity support",0
"474","NLD","OECD+","Liquidity support",33260869565
"475","NOR","OECD+","Liquidity support",0
"476","NPL","ASIA","Liquidity support",0
"477","NZL","OECD+","Liquidity support",4220698722
"478","OMN","MAF","Liquidity support",0
"479","PAK","ASIA","Liquidity support",0
"480","PAN","LAM","Liquidity support",0
"481","PER","LAM","Liquidity support",0
"482","PHL","ASIA","Liquidity support",0
"483","PNG","ASIA","Liquidity support",0
"484","POL","OECD+","Liquidity support",17899761337
"485","PRI","LAM","Liquidity support",0
"486","PRT","OECD+","Liquidity support",0
"487","PRY","LAM","Liquidity support",0
"488","PYF","OECD+","Liquidity support",0
"489","QAT","MAF","Liquidity support",0
"490","ROU","OECD+","Liquidity support",3805545102
"491","RUS","REF","Liquidity support",1.5e+07
"492","RWA","MAF","Liquidity support",0
"493","SAU","MAF","Liquidity support",6e+06
"494","SDN","MAF","Liquidity support",0
"495","SEN","MAF","Liquidity support",0
"496","SGP","ASIA","Liquidity support",14827537208
"497","SLB","OECD+","Liquidity support",0
"498","SLE","MAF","Liquidity support",0
"499","SLV","LAM","Liquidity support",0
"500","SOM","MAF","Liquidity support",0
"501","SRB","OECD+","Liquidity support",2635386098
"502","SUR","LAM","Liquidity support",0
"503","SVK","OECD+","Liquidity support",0
"504","SVN","OECD+","Liquidity support",0
"505","SWE","OECD+","Liquidity support",27034743096
"506","SWZ","MAF","Liquidity support",0
"507","SYR","MAF","Liquidity support",0
"508","TCD","MAF","Liquidity support",0
"509","TGO","MAF","Liquidity support",0
"510","THA","ASIA","Liquidity support",0
