"","country.code","region","gdp","component","stimulus","check"
"304","PAN","LAM",65055100000,"General.spending",1.3e+09,19.9830605133187
"305","PER","LAM",222044970486.217,"General.spending",3133935235.05,14.1139663203699
"306","PHL","ASIA",330910343610.956,"General.spending",10197216452.76,30.8156473487231
"307","PNG","ASIA",23497607690.1178,"General.spending",1707818675,72.6805340153093
"308","POL","OECD+",585663814824.044,"General.spending",48687350835.63,83.1319087901266
"309","PRI","LAM",101130900000,"General.spending",0,0
"310","PRT","OECD+",240674524464.24,"General.spending",10760869565,44.7112945956973
"311","PRY","LAM",40496953779.071,"General.spending",4.45e+08,10.9884808232163
"312","PYF","OECD+",NA,"General.spending",0,NA
"313","QAT","MAF",191362087912.088,"General.spending",20604395604.4,107.672297210018
"314","ROU","OECD+",239552516744.469,"General.spending",4578792984,19.1139423047023
"315","RUS","REF",1657554647149.87,"General.spending",2.9e+07,0.0174956524358729
"316","RWA","MAF",9508715596.4368,"General.spending",313787614.7,33.0000000018494
"317","SAU","MAF",786521831571.957,"General.spending",1.6e+07,0.0203427283995692
"318","SDN","MAF",40851536133.7642,"General.spending",4062901700.16,99.4552980053539
"319","SEN","MAF",24129599551.7869,"General.spending",1547453334.64,64.1309165251109
"320","SGP","ASIA",364156657769.87,"General.spending",53453271634.21,146.786473606065
"321","SLB","OECD+",1395608472.01325,"General.spending",40113147.44,28.7424075193054
"322","SLE","MAF",4085114794.22324,"General.spending",7500000,1.83593371980776
"323","SLV","LAM",2.6057e+10,"General.spending",0,0
"324","SOM","MAF",4720727278.18833,"General.spending",0,0
"325","SRB","OECD+",50597289146.7041,"General.spending",2825054036.8,55.8340987124608
"326","SUR","LAM",3590753768.84422,"General.spending",93802204.3,26.1232627850705
"327","SVK","OECD+",105904632155.755,"General.spending",2032608696,19.1928214528957
"328","SVN","OECD+",54007972106.4629,"General.spending",7608695652.13,140.880972852145
"329","SWE","OECD+",556086488936.559,"General.spending",40954759754,73.6481834549163
"330","SWZ","MAF",4710618471.93167,"General.spending",7552350.36,1.60326088920189
"331","SYR","MAF",NA,"General.spending",0,NA
"332","TCD","MAF",11273115239.4255,"General.spending",135277382.9,12.0000000023857
"333","TGO","MAF",5358722982.70893,"General.spending",22700000,4.2360838717072
"334","THA","ASIA",504992757704.997,"General.spending",58804912572,116.447041417478
"335","TJK","REF",7522947810.12326,"General.spending",0,0
"336","TKM","REF",40761142857.1429,"General.spending",2975563428.6,73.0000000007009
"337","TLS","ASIA",2.581e+09,"General.spending",0,0
"338","TTO","LAM",23808146747.7994,"General.spending",0,0
"339","TUN","MAF",39871132267.9361,"General.spending",268241694.58,6.72771700531105
