group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,ROU,Romania,OECD90+EU,3.941616667,35000000000,8879605238,2.40E+11,0.035,1.13E+10,2.40E+09,1.50E+09,0.00E+00,0.00E+00,7.40E+09,0.00E+00
G20,RUS,Russia,REF,62.66813333,,0,1.66E+12,0.029,4.70E+10,2.30E+10,3.00E+09,-,6.00E+09,1.50E+10,
,RWA,Rwanda,MAF,861.0934122,,0,9508715596,0.033,3.14E+08,,,,,,3.14E+08
G20,SAU,Saudi Arabia,MAF,3.75,,0,7.87E+11,,3.50E+10,3.00E+09,1.30E+10,-,1.30E+10,6.00E+09,
,SDN,Sudan,MAF,24.3289109,,0,40851536134,,5.30E+09,1.03E+09,1.24E+09,,,,3.03E+09
,SEN,Senegal,MAF,555.7178304,,0,24129599552,0.07,8.00E+08,5.00E+08,1.00E+08,1.00E+08,0.00E+00,1.00E+08,0.00E+00
,SGP,Singapore,ASIA,1.348841667,63700000000,47225706007,3.64E+11,,6.60E+10,5.10E+10,1.00E+09,0.00E+00,0.00E+00,1.40E+10,0.00E+00
,SLB,Solomon Islands,OECD90+EU,7.952504861,319000000,40113147.44,1395608472,,4.01E+07,,,,,,4.01E+07
,SLE,Sierra Leone,MAF,7931.63175,,0,4085114794,,7.50E+06,,,,,,7.50E+06
,SLV,El Salvador,LAM,1,,0,26057000000,,0.00E+00,,,,,,0.00E+00
,SOM,Somalia,MAF,NA,,#VALUE!,4720727278,,0.00E+00,,,,,,0.00E+00
,SRB,Serbia,OECD90+EU,100.175075,,0,50597289147,,5.85E+09,6.49E+08,3.89E+08,9.68E+08,1.21E+09,2.64E+09,0.00E+00
,SUR,Suriname,LAM,7.462511198,,0,3590753769,,1.48E+08,5.36E+07,5.43E+07,,,,4.02E+07
,SVK,Slovakia,OECD90+EU,0.92,1870000000,2032608696,1.06E+11,,2.03E+09,,,,,,2.03E+09
,SVN,Slovenia,OECD90+EU,0.92,7000000000,7608695652,54007972106,,7.61E+09,5.43E+07,,6.52E+08,,,6.90E+09
,SWE,Sweden,OECD90+EU,8.692518333,5.91E+11,67989502850,5.56E+11,,8.20E+10,2.40E+10,1.00E+09,0.00E+00,3.40E+10,2.30E+10,0.00E+00
,SWZ,Swaziland,MAF,13.24091113,100000000,7552350.364,4710618472,,7.55E+06,,,,,,7.55E+06
,SYR,Syrian,MAF,NA,,#VALUE!,NA,,0.00E+00,,,,,,0.00E+00
,TCD,Chad,MAF,555.7178304,,,11273115239,,1.91E+08,1.35E+08,5.58E+07,,,,0.00E+00
,TGO,Togo,MAF,NA,,#VALUE!,5358722983,,2.10E+08,2.27E+07,1.87E+08,,,,0.00E+00
,THA,Thailand,ASIA,32.31022574,2.50E+12,77374884963,5.05E+11,,6.00E+10,4.20E+10,0.00E+00,0.00E+00,0.00E+00,1.80E+10,0.00E+00
,TJK,Tajikistan,REF,9.151216667,,0,7522947810,,0.00E+00,,,,,,0.00E+00
,TKM,Turkmenistan,REF,NA,,#VALUE!,40761142857,,5.58E+09,1.22E+08,8.15E+08,,2.85E+09,1.79E+09,0.00E+00
,TLS,East Timor,ASIA,1,,0,2581000000,,0.00E+00,,,,,,0.00E+00
,TTO,Trinidad and Tobago,LAM,6.770750898,,0,23808146748,,0.00E+00,,,,,,0.00E+00
,TUN,Tunisia,MAF,2.646866667,,944513009.1,39871132268,,1.20E+09,5.00E+08,1.00E+08,0.00E+00,1.00E+08,5.00E+08,0.00E+00
G20,TUR,Turkey,OECD90+EU,4.828370147,2.52E+11,20710922517,7.71E+11,,7.50E+10,2.00E+09,-,-,1.00E+10,6.30E+10,
,TZA,Tanzania,MAF,2263.780634,,0,58001200572,,3.88E+08,,3.20E+06,3.76E+08,,,8.40E+06
,UGA,Uganda,MAF,3727.068995,,0,27461440192,,3.69E+08,,,,,,3.69E+08
,UKR,Ukraine,REF,27.20049233,,220584242.6,1.31E+11,,9.03E+09,8.44E+09,5.81E+08,,,,0.00E+00
,URY,Uruguay,LAM,30.72525833,,0,59596885024,,8.00E+08,4.00E+08,,,,,4.00E+08
G20,USA,United States of America,OECD90+EU,1,2.79E+12,2.79E+12,2.05E+13,,2.95E+12,2.14E+12,3.04E+11,-,-,5.10E+11,
,UZB,Uzbekistan,REF,8069.606237,,0,50499921558,,0.00E+00,,,,,,0.00E+00
,VEN,Venezuela,LAM,NA,,#VALUE!,NA,,0.00E+00,,,,,,0.00E+00
,VNM,Vietnam,ASIA,22602.05,2.71E+14,11990062848,2.45E+11,,1.24E+10,3.00E+09,7.00E+08,-,8.20E+09,5.00E+08,0.00E+00
,WSM,Samoa,OECD90+EU,2.587279951,66300000,25625367.67,820491798.3,,2.56E+07,,,,,,2.56E+07
G20,ZAF,South Africa,MAF,13.23392647,,0,3.68E+11,,3.00E+10,1.40E+10,1.00E+09,-,3.00E+09,1.20E+10,
,ZMB,Zambia,MAF,10.45814322,2640000000,252434867.6,26720073436,,2.52E+08,,,,,,2.52E+08
,ZWE,Zimbabwe,MAF,NA,,#VALUE!,31000519447,,2.00E+06,,,,,,2.00E+06
,,,,,,,,,1.27E+13,,,,,,
